id,name,cat,subcat,tier,priority,lat,lon,yield_kt,burst,height_m,rationale,notes,sources
A03,HMNB Clyde (Faslane),A,SSBN operating base,T1,1,56.0669,-4.8267,475,air,500,Sole Royal Navy SSBN and SSN operating base. Single point of failure for UK deterrent at sea. Airburst to destroy submarines in port and base infrastructure.,Multi-warhead strike likely. Also cat E (naval base).,RN
A04,RNAD Coulport,A,Warhead storage,T1,2,56.055,-4.8792,475,ground,0,Strategic warhead storage and torpedo loading for Trident submarines. 8 miles from Faslane.,,RN
A01,AWE Aldermaston,A,Warhead design/production,T1,3,51.3683,-1.1394,100,air,500,"UK nuclear warhead design, plutonium processing, tritium. Sprawling above-ground campus — airburst sufficient.",Companion to Burghfield (assembly).,AWE
A02,AWE Burghfield,A,Warhead assembly,T1,4,51.3989,-1.0544,100,air,500,UK warhead final assembly and dismantling. Sole site for this function. Soft industrial target.,,AWE
A05,HMNB Devonport,A,SSN refit + nuclear drydock,T1,5,50.3833,-4.1833,475,air,500,Largest naval base in Western Europe. Only UK facility able to refit nuclear submarines. Airburst to destroy drydocks and ships in refit.,Also cat E (naval base). Adjacent Plymouth city (I37).,"Babcock, RN"
A06,BAE Systems Barrow-in-Furness,A,SSBN/SSN construction,T1,6,54.113,-3.2347,100,air,500,"Sole UK shipyard building nuclear submarines (Astute-class SSN, Dreadnought-class SSBN). Irreplaceable industrial capability. Soft industrial site — airburst sufficient.",Also cat H (defence industry).,BAE Systems
A07,"Rolls-Royce Raynesway, Derby",A,Naval reactor production,T1,7,52.9175,-1.43,100,air,500,Only UK facility producing naval nuclear reactor cores (PWR2/PWR3). Sole-source supplier for SSN/SSBN propulsion. Soft industrial site.,Also cat H. Adjacent Derby city (I20).,Rolls-Royce
B01,RAF Lakenheath,B,"USAF strike (F-35A, B61-12)",T1,8,52.4093,0.561,100,air,500,48th FW: F-35As joining F-15Es. Reportedly hosting B61-12 gravity bombs from 2024. Largest USAF combat base in Europe.,Also cat D (RAF base).,"USAFE, open sources"
B05,RAF Fylingdales,B,BMEWS early warning radar,T1,9,54.3614,-0.67,475,ground,0,Solid-state phased array radar (SSPARS). Part of US Ballistic Missile Early Warning System and Space Surveillance Network.,Also cat G. Hardened structure — groundburst.,MoD
B04,RAF Menwith Hill,B,NSA/GCHQ SIGINT station,T2,10,54.0086,-1.6883,100,air,500,"Largest NSA station outside the US. 30+ radomes. ECHELON/FIVE EYES overhead SIGINT processing hub. SIGINT, not directly nuclear forces.",Also cat G (radar/SIGINT).,"NSA, public record"
C02,Northwood HQ,C,PJHQ + NATO MARCOM,T2,11,51.605,-0.4172,475,ground,0,UK Permanent Joint Headquarters (all UK joint ops) and NATO Maritime Command. Global military command node.,,"MoD, NATO"
C06,GCHQ Cheltenham,C,SIGINT HQ,T2,12,51.8986,-2.1244,100,air,500,GCHQ Doughnut. UK signals intelligence and cyber HQ. Five Eyes keystone. Modern above-ground office complex — airburst sufficient.,,GCHQ
C03,RAF High Wycombe (Air Command HQ),C,RAF headquarters,T2,13,51.6344,-0.8072,100,air,500,HQ Air Command. Command and control of all RAF operational forces. Underground operations centre.,,RAF
C01,PINDAR / Whitehall (Cabinet Office),C,Crisis command bunker,T2,14,51.504,-0.128,800,air,2000,Cabinet Office crisis management centre under MoD Main Building. Part of 3-GZ London strike. COBR/COBRA crisis management.,Overlap with London GZ 2 (I02).,Declassified records
C09,Credenhill (22 SAS / UKSF HQ),C,UK Special Forces HQ,T2,15,52.0897,-2.8158,100,air,500,HQ 22 SAS Regiment and UK Special Forces since 1999. UKSF operational base and strategic reserve capability.,,Public record
C07,MI5 Thames House,C,Security Service HQ,T2,16,51.4942,-0.125,800,air,2000,"MI5 headquarters, Millbank. Internal security decapitation.",Covered by London GZ 2 (I02).,Public record
C08,MI6 Vauxhall Cross,C,SIS HQ,T2,17,51.4872,-0.1244,800,air,2000,MI6 / SIS headquarters. Foreign intelligence decapitation.,Covered by London GZ 2 (I02).,Public record
K01,Sellafield,K,Reprocessing + legacy high-level waste,T2,18,54.4208,-3.4961,100,ground,0,"Magnox reprocessing, THORP, ~140 tonnes Pu stored, high-level waste tanks, legacy ponds. Single most radiologically hazardous target in the UK. Groundburst to contaminate site and deny access.",Arguably strategic counterforce-level target due to Pu inventory.,NDA
L06,St Fergus Gas Terminal,L,Gas import terminal,T2,19,57.5544,-1.84,475,ground,0,~40% of UK gas lands here via North Sea and Norwegian Vesterled pipeline. Destroying it collapses UK gas supply. Strategic energy chokepoint.,Hardened/buried pipework — groundburst.,National Gas
N01,Widemouth Bay cable landing (Cornwall),N,Transatlantic cable bundle,T2,20,50.7919,-4.5561,100,air,500,"Primary UK transatlantic cable bundle: TAT-14, Apollo North, Yellow, FLAG Atlantic, AEConnect. Severs most UK-US fibre capacity.",GCHQ Bude 3 miles north (G07).,TeleGeography
E01,HMNB Portsmouth,E,Carrier + fleet base,T2,21,50.8036,-1.1092,475,air,500,"Home port of QE-class carriers, Type 45 destroyers, Type 23/26 frigates. Airburst to destroy ships in port and dockyard infrastructure.",Also cat C (Navy Command nearby) and cat I (Portsmouth city I38).,RN
D01,RAF Coningsby,D,Typhoon QRA South,T2,22,53.093,-0.1658,100,air,500,Quick Reaction Alert (South). Multiple Typhoon squadrons. Battle of Britain Memorial Flight.,,RAF
D02,RAF Lossiemouth,D,Typhoon QRA North + P-8 Poseidon,T2,23,57.7053,-3.3392,100,air,500,QRA (Interceptor) North. All UK P-8A Poseidon maritime patrol aircraft. Covers GIUK gap ASW.,,RAF
D03,RAF Marham,D,F-35B Lightning force,T2,24,52.6486,0.5506,100,air,500,617 Sqn and 207 OCU F-35B Lightning. UK's principal strike aircraft base.,,RAF
D04,RAF Waddington,D,ISTAR / intelligence aircraft,T2,25,53.1662,-0.5236,100,air,500,"RC-135W Rivet Joint SIGINT, Sentinel R1, Shadow R2, Protector RG1 RPAS. All UK airborne intelligence assets.",,RAF
D05,RAF Brize Norton,D,Strategic transport + tanker,T2,26,51.75,-1.5836,100,air,500,"UK strategic air transport hub. Voyager tanker, C-17, A400M Atlas. Sole air bridge for power projection.",,RAF
D06,RAF Odiham,D,Chinook heavy-lift,T2,27,51.2344,-0.9428,100,air,500,Sole Chinook HC6/6A operating base. Critical heavy helicopter lift for land forces.,,RAF
B02,RAF Mildenhall,B,USAF tankers + AFSOC,T2,28,52.3614,0.4864,100,air,500,100th ARW (KC-135 tankers) and 352nd SOW (special operations). 7 miles from Lakenheath.,,USAFE
B03,RAF Croughton,B,USAF global comms relay,T2,29,51.9856,-1.1872,100,air,500,USAF 422nd ABG. Major satellite relay hub linking European and CONUS command networks. NSA presence.,,USAF
B06,RAF Welford,B,USAF conventional munitions storage,T2,30,51.4714,-1.3844,475,ground,0,"Largest USAF conventional munitions storage site in Europe. 100+ earth-covered bunkers. Nuclear weapons stored in WS3 vaults at operating bases, not here.",,USAF
B10,RAF Fairford,B,USAF strategic bomber forward base,T2,31,51.6822,-1.79,100,air,500,"Forward operating location for US strategic bombers (B-52, B-2, B-1B). Routine rotations. Longest military runway in UK. Soft airfield target.",,USAFE
B07,RAF Alconbury,B,USAF intelligence,T2,32,52.3719,-0.2292,100,air,500,501st CSW. Co-located with Joint Analysis Center Molesworth. USAF intelligence fusion for EUCOM/AFRICOM.,Effectively same complex as B08 Molesworth.,USAF
B08,RAF Molesworth,B,Joint Analysis Center,T2,33,52.3761,-0.4114,100,air,500,Joint Analysis Center — primary USAF intelligence facility in UK. 3 miles west of Alconbury.,,USAF
B09,RAF Feltwell,B,USSF Space Surveillance + support,T2,34,52.4914,0.5386,100,air,500,5th Space Surveillance Squadron optical telescope site. Housing and support functions for Lakenheath/Mildenhall cluster.,,USSF
H01,BAE Systems Warton,H,Typhoon/F-35 final assembly + Tempest,T2,35,53.7453,-2.8839,100,air,500,"Typhoon Eurofighter final assembly, F-35 rear fuselage production, GCAP/Tempest development. UK's principal combat aircraft plant.",Adjacent to Samlesbury (H02).,BAE Systems
H02,BAE Systems Samlesbury,H,F-35 + Typhoon fuselage,T2,36,53.7761,-2.5733,100,air,500,F-35B rear fuselage and Typhoon airframe structures. Sister site to Warton 12 miles away.,,BAE Systems
H03,BAE Systems Scotstoun,H,Type 26/31 frigates,T2,37,55.8753,-4.3533,100,air,500,Assembly of Type 26 City-class frigates (ASW hull). Adjacent to Govan.,Adjacent to H04 Govan on Clyde.,BAE Systems
H04,BAE Systems Govan,H,Type 26/31 frigates,T2,38,55.8681,-4.3075,100,air,500,Hull block fabrication for Type 26 frigates. Paired operation with Scotstoun on the Clyde.,,BAE Systems
H06,MBDA Stevenage,H,Missile design HQ,T2,39,51.9033,-0.2019,100,air,500,"MBDA UK HQ and design centre. Meteor, Brimstone, CAMM/Sea Ceptor, SPEAR, legacy Storm Shadow. UK's primary missile design capability.",,MBDA
C04,Army HQ Andover (Marlborough Lines),C,British Army HQ,T2,40,51.2089,-1.4844,100,air,500,"HQ British Army at Marlborough Lines, Andover. Top-level army command.",,British Army
C05,Navy Command Portsmouth (Portsdown Hill),C,Royal Navy HQ,T2,41,50.85,-1.1,100,air,500,HQ Navy Command on Portsdown Hill. Royal Navy operational command node.,Partially covered by HMNB Portsmouth strike (E01).,RN
C10,RM Poole (SBS HQ),C,UK Special Forces (maritime),T2,42,50.6992,-1.9436,100,air,500,HQ Special Boat Service. UK maritime special forces base.,,Public record
G07,GCHQ Bude (Morwenstow satellite station),G,Satellite SIGINT + cable tap,T2,43,50.8911,-4.5544,100,air,500,GCHQ satellite intercept station. Adjacent to primary transatlantic cable landings (Widemouth Bay). Taps both satellite and undersea fibre.,Also cat N.,GCHQ
G08,GCHQ Scarborough (Irton Moor),G,HF SIGINT,T2,44,54.2567,-0.4839,100,air,500,HF direction-finding and SIGINT station. Part of GCHQ's regional collection network.,,GCHQ
E02,RNAS Yeovilton,E,Wildcat + Commando Helicopter,T2,45,51.0094,-2.6389,100,air,500,Wildcat HMA2 maritime attack and Commando Helicopter Force (Merlin Mk4). RM aviation.,,RN
E03,RNAS Culdrose,E,Merlin ASW + AEW,T2,46,50.0864,-5.2564,100,air,500,Merlin HM2 ASW and Crowsnest AEW helicopters. Largest helicopter base in Europe.,,RN
E04,HMS Collingwood (Fareham),E,Maritime Warfare School,T2,47,50.8333,-1.1667,100,air,500,Maritime Warfare School and weapons engineering. Largest Royal Navy training establishment.,,RN
E06,RNAD Gosport (Frater/Bedenham),E,Naval armament depot,T2,48,50.8094,-1.1544,475,ground,0,Royal Naval Armament Depot. Surface fleet munitions storage. Groundburst to destroy ordnance.,,"RN, DE&S"
E07,DM Glen Douglas,E,NATO munitions depot,T2,49,56.1181,-4.7642,475,ground,0,Defence Munitions Glen Douglas. Largest conventional munitions depot in Western Europe. NATO-tasked.,,DE&S
E08,Babcock Rosyth Dockyard,E,Carrier refit + surface support,T2,50,56.0194,-3.4419,100,air,500,QE-class carrier assembly site (complete ship assembly here). Ongoing RN surface vessel refit.,Also cat H (defence industry).,Babcock
E05,HMS Raleigh (Torpoint),E,RN initial training,T3,51,50.3828,-4.2097,100,air,500,Initial naval training for all ratings. Adjacent to Devonport — probably covered by that strike.,Likely covered by A05 Devonport strike.,RN
E09,BUTEC Kyle of Lochalsh,E,Underwater test range,T3,52,57.2778,-5.7139,100,air,500,British Underwater Test and Evaluation Centre. Torpedo and sonar testing range in sea loch.,,QinetiQ
D07,RAF Benson,D,Puma medium helicopter,T2,53,51.6161,-1.0958,100,air,500,Puma HC2 squadrons. Medium helicopter lift and JHC support.,,RAF
D08,RAF Wittering,D,Logistics + engineering,T2,54,52.6117,-0.4719,100,air,500,"A4 Force HQ. RAF logistics, engineering and force development hub.",,RAF
D09,RAF Northolt,D,London VIP + mil transport,T2,55,51.5531,-0.4183,100,air,500,32 (The Royal) Sqn VIP transport. London CASEVAC. RAF presence in London outskirts.,,RAF
D10,RAF Leeming,D,Training + support,T2,56,54.2925,-1.5353,100,air,500,100 Sqn Hawk T1 aggressor/training. 2 MASU. Northern England RAF support hub.,,RAF
D11,RAF Valley,D,Fast-jet pilot training,T2,57,53.2481,-4.5353,100,air,500,4 FTS Hawk T2. All UK fast-jet pilots train here. Destruction ends pipeline of combat pilots.,,RAF
D12,RAF Cranwell,D,Officer + flying training,T2,58,53.0306,-0.4828,100,air,500,"RAF College Cranwell. Basic flying training, officer cadet training. RAF's principal training establishment.",,RAF
D13,RAF Shawbury,D,Rotary wing training,T2,59,52.7983,-2.6681,100,air,500,Defence Helicopter Flying School. All three services train rotary-wing pilots here.,,RAF
D14,RAF Boulmer,D,Control and Reporting Centre,T2,60,55.4244,-1.5814,100,air,500,Air Surveillance and Control System CRC. Fuses UK radar picture for air defence.,Also cat G.,RAF
F01,Catterick Garrison,F,Largest UK army garrison,T2,61,54.3778,-1.7244,100,air,500,Largest British Army garrison. Multiple brigades including 1st (UK) Armoured Infantry. Infantry Training Centre.,,British Army
F02,Aldershot Garrison,F,Home of the British Army,T2,62,51.2528,-0.7583,100,air,500,"Historic Home of the British Army. Garrison HQ, Army training facilities. Paras relocated to Colchester.",,British Army
F03,Tidworth Garrison,F,3 (UK) Div armoured,T2,63,51.2319,-1.6633,100,air,500,Tidworth/Bulford/Larkhill complex. 3 (UK) Division armoured brigades. Salisbury Plain training area.,"Tidworth, Bulford, Larkhill all in same strike area.",British Army
F04,Colchester Garrison (Merville Bks),F,16 Air Assault Bde,T2,64,51.8939,0.9114,100,air,500,"Home of 16 Air Assault Brigade — UK's high-readiness rapid reaction force (2 PARA, 3 PARA etc).",,British Army
F05,Edinburgh Garrison (Redford/Dreghorn),F,Army barracks,T3,65,55.9167,-3.2464,300,air,2000,Redford and Dreghorn barracks. Army presence in Edinburgh.,Covered by Edinburgh city strike (I12).,British Army
F06,RMA Sandhurst,F,Officer training,T3,66,51.3408,-0.7119,100,air,500,Royal Military Academy Sandhurst. Training all British Army officers — destruction severs pipeline.,,British Army
F07,Infantry Training Centre Pirbright,F,Phase 1 infantry training,T3,67,51.3172,-0.6317,100,air,500,Phase 1 infantry training. Principal basic training establishment for infantry soldiers.,,British Army
F08,"Thiepval Bks, Lisburn (HQ 38 Bde)",F,NI Army HQ,T3,68,54.5167,-6.0408,100,air,500,"Thiepval Barracks, Lisburn. HQ 38 (Irish) Brigade. Army HQ for Northern Ireland.",,British Army
G01,"RRH Saxa Vord (Unst, Shetland)",G,Air defence radar,T2,69,60.825,-0.8517,100,air,500,Northernmost UK radar. Air surveillance over Norwegian Sea and GIUK gap. Recently reactivated 2023.,,RAF
G02,RRH Benbecula,G,Air defence radar,T2,70,57.48,-7.3633,100,air,500,"Remote Radar Head, Outer Hebrides. Western approaches air defence coverage.",,RAF
G03,RRH Buchan,G,Air defence radar,T2,71,57.4719,-1.8767,100,air,500,Remote Radar Head Buchan. Scottish east coast air surveillance. Former Master Diversion Airfield.,,RAF
G04,RRH Brizlee Wood,G,Air defence radar,T3,72,55.4183,-1.8183,100,air,500,Remote Radar Head. NE England coastal air surveillance.,,RAF
G05,RRH Staxton Wold,G,Air defence radar,T3,73,54.1994,-0.4161,100,air,500,"Remote Radar Head, Yorkshire coast. Oldest continually operated radar site in UK.",,RAF
L01,Fawley Refinery,L,Oil refinery,T2,74,50.8344,-1.3439,100,air,500,"ExxonMobil Fawley. Largest UK refinery, ~20% capacity. Feeds South England, Heathrow jet fuel. Adjacent Southampton.",,ExxonMobil
L02,Stanlow Refinery,L,Oil refinery,T2,75,53.2806,-2.8619,100,air,500,"EET Fuels (ex-Essar) Stanlow, Cheshire. Second largest UK refinery. Feeds NW England.",,EET Fuels
L03,Grangemouth Refinery / Petrochemicals,L,Oil refinery + petrochemicals,T2,76,56.0075,-3.7094,100,air,500,Petroineos Grangemouth. Scotland's only refinery (transitioning 2025+). Only ethylene cracker in Scotland.,Status in transition — may close as refinery.,Petroineos
L09,South Hook LNG (Milford Haven),L,LNG import terminal,T2,77,51.705,-5.055,100,air,500,QatarEnergy/ExxonMobil. Largest UK LNG import terminal. Critical winter peak-shaving capacity.,Overlap J07.,South Hook LNG
L10,Isle of Grain LNG (Kent),L,LNG import terminal,T2,78,51.4472,0.7164,100,air,500,National Gas Grain LNG — largest UK LNG storage by volume. Thames Estuary. IFA interconnector nearby.,Overlap M04 Sellindge.,National Gas
M01,Drax Power Station (N Yorks),M,Biomass power,T2,79,53.7358,-0.9986,100,air,500,Drax — UK's largest power station by capacity (~3.9 GW). ~6% of UK electricity. Biomass + CCS.,,Drax
K02,Capenhurst (Urenco UK),K,Uranium enrichment,T2,80,53.2617,-2.9444,475,ground,0,Urenco UK centrifuge enrichment plant. Sole UK uranium enrichment capability. Also stores depleted uranium.,,Urenco
K03,Hinkley Point C (Somerset),K,Nuclear power (new build),T2,81,51.2081,-3.1328,100,ground,0,EDF Hinkley Point C EPR under construction (~7% future UK electricity). Groundburst to contaminate and prevent completion.,Hinkley Point B decommissioning adjacent.,EDF
K04,Sizewell B + C (Suffolk),K,Nuclear power,T2,82,52.2142,1.62,100,ground,0,Sizewell B PWR (active) + Sizewell C planned. ~3% of current UK electricity.,,EDF
K05,Heysham 1 + 2 (Lancashire),K,Nuclear power,T2,83,54.0292,-2.9158,100,ground,0,Two active AGR stations. UK's largest nuclear generating site. ~10% of national nuclear capacity.,,EDF
K06,Hartlepool AGR,K,Nuclear power,T2,84,54.635,-1.1808,100,ground,0,Active AGR station on Teesside. Contributing to grid.,,EDF
K07,Torness AGR (East Lothian),K,Nuclear power,T2,85,55.9681,-2.4069,100,ground,0,Active AGR station south-east of Edinburgh. Scotland's only currently active nuclear power plant.,,EDF
L04,Pembroke Refinery (Valero),L,Oil refinery,T2,86,51.6833,-4.9833,100,air,500,"Valero Pembroke, Wales. ~10 million tpa. One of largest European refineries.",,Valero
L05,Lindsey Oil Refinery (Humber),L,Oil refinery,T2,87,53.64,-0.2014,100,air,500,"Prax Group, North Lincolnshire. Humber refinery complex.",Adjacent to L06.,Prax
L07,Bacton Gas Terminal (Norfolk),L,Gas import terminal,T2,88,52.8519,1.4494,100,ground,0,North Sea gas plus BBL (NL) and IUK (BE) interconnectors. Second key gas entry point for UK.,,National Gas
L08,Easington Gas Terminal (E Yorks),L,Gas import terminal,T2,89,53.65,0.14,100,ground,0,Langeled pipeline from Norway terminates here (~20% of UK gas). East Yorkshire coast.,,Equinor
M04,Sellindge / Folkestone (IFA HVDC),M,UK-France interconnector,T2,90,51.1025,1.0222,100,air,500,IFA and IFA2 UK converter stations. 2 GW to France. Destroying severs major import/export link.,,National Grid
